Protein_ID,experiment,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
design_1,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7919999957084656,0.4855000078678131,0.0566999986767768,0.0760999992489814,0.1393000036478042,0.0031999999191612,0.0856999978423118,0.0667999982833862,0.0672999992966651,0.0059000002220273,0.1761000007390976,0.1006999984383583,0.1419000029563903,0.7986999750137329
design_2,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7192999720573425,0.5863000154495239,0.0262000001966953,0.0675999969244003,0.094200000166893,0.0043999999761581,0.0813999995589256,0.095499999821186,0.0728999972343444,0.0035999999381601,0.1342999935150146,0.0302000008523464,0.1412000060081482,0.886900007724762
design_3,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7003999948501587,0.6366999745368958,0.0797000005841255,0.0546000003814697,0.0847999975085258,0.0103000001981854,0.0885000005364418,0.0684999972581863,0.0460000000894069,0.0119000002741813,0.1536999940872192,0.023199999704957,0.1894000023603439,0.8816999793052673
design_4,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7247999906539917,0.5515000224113464,0.0425999984145164,0.0445000007748603,0.1330000013113021,0.0065999999642372,0.0952999964356422,0.0767000019550323,0.045899998396635,0.0057999999262392,0.1476999968290329,0.0249000005424022,0.1022000014781951,0.8988999724388123
design_5,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8126999735832214,0.4406999945640564,0.0417999997735023,0.0663999989628791,0.0983999967575073,0.0028999999631196,0.0764999985694885,0.0944000035524368,0.0608000010251998,0.0057000000961124,0.1439999938011169,0.0238000005483627,0.1067000031471252,0.907800018787384
design_6,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7937999963760376,0.4557999968528747,0.0472999997437,0.0711999982595443,0.1112999990582466,0.0032999999821186,0.0841000005602836,0.0993999987840652,0.0706999972462654,0.0041999998502433,0.1480000019073486,0.0275999996811151,0.1063999980688095,0.9014999866485596
design_7,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7943000197410583,0.4174000024795532,0.065700002014637,0.0640000030398368,0.1181999966502189,0.0054000001400709,0.0841000005602836,0.0930000022053718,0.0728999972343444,0.0087999999523162,0.150299996137619,0.0263999998569488,0.1138999983668327,0.8938999772071838
design_8,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8108000159263611,0.4435999989509582,0.0432999990880489,0.0617000013589859,0.1199999973177909,0.0041999998502433,0.0723000019788742,0.0923999994993209,0.0680000036954879,0.0051000001840293,0.1548999994993209,0.024100000038743,0.1155000030994415,0.901199996471405
design_9,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8104000091552734,0.4196999967098236,0.0355000011622905,0.0760999992489814,0.0966000035405159,0.0035000001080334,0.0754000023007392,0.0856000036001205,0.0593000017106533,0.0059000002220273,0.1307000070810318,0.031700000166893,0.1136000007390976,0.8910999894142151
design_10,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7886999845504761,0.4587000012397766,0.0533999986946582,0.0487999990582466,0.1138999983668327,0.0057000000961124,0.0767000019550323,0.070200003683567,0.0505999997258186,0.008899999782443,0.1361999958753585,0.0284000001847744,0.1349000036716461,0.8853999972343445
design_11,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8082000017166138,0.461899995803833,0.0469999983906745,0.0666999965906143,0.0988999977707862,0.0035000001080334,0.0727000012993812,0.0926999971270561,0.0537000000476837,0.0063000000081956,0.1401000022888183,0.0265999995172023,0.1202000007033348,0.8995000123977661
design_12,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7886000275611877,0.449099987745285,0.0359999984502792,0.0588000006973743,0.1284999996423721,0.0049999998882412,0.0914999991655349,0.0821999981999397,0.0662000030279159,0.0052000000141561,0.1577000021934509,0.0272000003606081,0.1150000020861625,0.8968999981880188
design_13,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7878000140190125,0.4223000109195709,0.0454000011086463,0.0878000035881996,0.0904000028967857,0.0048000002279877,0.0878999978303909,0.0892999991774559,0.060199998319149,0.0077999997884035,0.145699992775917,0.0296000000089406,0.1384000033140182,0.8823000192642212
design_14,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7868000268936157,0.4957999885082245,0.046799998730421,0.0593000017106533,0.1010999977588653,0.0041000000201165,0.0804999992251396,0.0747999995946884,0.0471000000834465,0.0049999998882412,0.1596000045537948,0.0238000005483627,0.0970999971032142,0.901099979877472
design_15,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7182999849319458,0.6126000285148621,0.0491999983787536,0.0423000007867813,0.1420000046491623,0.0065000001341104,0.0746999979019165,0.0606000013649463,0.0513999983668327,0.0074999998323619,0.147499993443489,0.0237000007182359,0.1704999953508377,0.8899999856948853
design_16,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8111000061035156,0.4591000080108642,0.0430999994277954,0.0617000013589859,0.0907000005245208,0.0031000000890344,0.0768999978899955,0.0791999995708465,0.063400000333786,0.006000000052154,0.1367000043392181,0.0230999998748302,0.1124999970197677,0.9042999744415284
design_17,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7886999845504761,0.4781000018119812,0.0476000010967254,0.0566000007092952,0.1001999974250793,0.0027000000700354,0.0754999965429306,0.0863000005483627,0.0529999993741512,0.0041999998502433,0.1604000031948089,0.0249000005424022,0.1592999994754791,0.8827999830245972
design_18,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8080999851226807,0.4494999945163727,0.048200000077486,0.0631999969482421,0.0916000008583068,0.0041000000201165,0.0802000015974044,0.0864999964833259,0.0592000000178813,0.0076000001281499,0.148399993777275,0.0248000007122755,0.1187999993562698,0.887499988079071
design_19,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7664999961853027,0.5216000080108643,0.0511999987065792,0.0599000006914138,0.1190999969840049,0.0032999999821186,0.0763999968767166,0.0784000009298324,0.0449000000953674,0.0066999997943639,0.1483000069856643,0.0282000005245208,0.1468999981880188,0.8913999795913696
design_20,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8003000020980835,0.4665000140666961,0.0417000018060207,0.065700002014637,0.0998999997973442,0.0028999999631196,0.090499997138977,0.0864000022411346,0.0617000013589859,0.0049999998882412,0.1491000056266784,0.0239000003784894,0.1289000064134597,0.892799973487854
design_21,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.75,0.5479999780654907,0.0542000010609626,0.065600000321865,0.0825999975204467,0.0049000000581145,0.0741999968886375,0.0658000037074089,0.0485000014305114,0.0082999998703598,0.1369999945163726,0.025900000706315,0.1243999972939491,0.9031000137329102
design_22,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8052999973297119,0.4289999902248382,0.0443000011146068,0.0754000023007392,0.090499997138977,0.0038999998942017,0.0874999985098838,0.093699999153614,0.0615999996662139,0.0063999998383224,0.1499000042676925,0.0242999996989965,0.1180000007152557,0.8848999738693237
design_23,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7833999991416931,0.5023999810218811,0.0405000001192092,0.0590000003576278,0.1062999963760376,0.0035000001080334,0.0635000020265579,0.0894000008702278,0.048700001090765,0.0077999997884035,0.1450999975204467,0.0256999991834163,0.1000000014901161,0.8999000191688538
design_24,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8007000088691711,0.4469999969005584,0.0318999998271465,0.0729999989271164,0.1084000021219253,0.0024000001139938,0.0838999971747398,0.0913000032305717,0.0712999999523162,0.0035999999381601,0.1500999927520752,0.0291000008583068,0.1002999991178512,0.901199996471405
design_25,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7942000031471252,0.4129000008106231,0.0520000010728836,0.0785000026226043,0.0841000005602836,0.0043999999761581,0.0979999974370002,0.0860999971628189,0.0597000010311603,0.0105999996885657,0.1256999969482422,0.0271000005304813,0.1559000015258789,0.8802000284194946
design_26,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7687000036239624,0.4623000025749206,0.0584999993443489,0.0745000019669532,0.0929000005125999,0.0035000001080334,0.0997999981045723,0.0874999985098838,0.0590999983251094,0.0099999997764825,0.1199000030755996,0.0273000001907348,0.1523000001907348,0.8917999863624573
design_27,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7616999745368958,0.5339999794960022,0.0599000006914138,0.0542000010609626,0.1072999984025955,0.0049999998882412,0.0693999975919723,0.069300003349781,0.0546000003814697,0.0115999998524785,0.154799997806549,0.0258000008761882,0.1360999941825866,0.8916000127792358
design_28,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8203999996185303,0.4108999967575073,0.0465000011026859,0.0697999969124794,0.0860000029206276,0.0028999999631196,0.0712999999523162,0.0852999985218048,0.0555000007152557,0.0063999998383224,0.1368999928236007,0.025000000372529,0.1164000034332275,0.90420001745224
design_29,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7674999833106995,0.4772999882698059,0.0346000008285045,0.0662999972701072,0.0825000032782554,0.003000000026077,0.0834000036120414,0.0675999969244003,0.0498000010848045,0.0093999998643994,0.1407999992370605,0.0280000008642673,0.1180000007152557,0.8995000123977661
design_30,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7667999863624573,0.4172999858856201,0.0817999988794326,0.0758000016212463,0.1456000059843063,0.006000000052154,0.1045000031590461,0.0690999999642372,0.0599999986588954,0.0054999999701976,0.1274999976158142,0.0286999996751546,0.1356000006198883,0.8903999924659729
design_31,original+LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.7741000056266785,0.4684000015258789,0.050900001078844,0.065700002014637,0.125,0.0035999999381601,0.0860999971628189,0.0736000016331672,0.0579000003635883,0.0048000002279877,0.1499000042676925,0.0272000003606081,0.1184000000357627,0.9003000259399414
